Price,Ticker,Mean Return,Volatility,Cluster
Close,AAPL,0.0014976237972699165,0.013451988289904085,0
Close,AMD,0.0017129729440892884,0.029909605530463918,0
Close,AMZN,0.0020605205450142812,0.019289648889943445,0
Close,GOOGL,0.0016810705764593755,0.018403597610884673,0
Close,IBM,0.0011257883771246594,0.012581908006890895,0
Close,INTC,-7.523782338477731e-05,0.02867974273594644,0
Close,META,0.0033747935471218206,0.02405491117159132,0
Close,MSFT,0.0012625426747323515,0.01428556234030036,0
Close,NFLX,0.0024321538593865917,0.021309877403598368,0
Close,NVDA,0.0049714914504538675,0.03180415799744815,0
Close,ORCL,0.0016223758794138413,0.01966496045033584,0
Close,TSLA,0.0032972850990702143,0.03672967608957802,0
High,AAPL,0.0014238695614106267,0.01305544389227985,0
High,AMD,0.001617045219079242,0.028148853162759398,0
High,AMZN,0.0020384115394706083,0.01764104155444845,0
High,GOOGL,0.0016490301986201742,0.017514570269898406,0
High,IBM,0.00112944726294294,0.012477745419087992,0
High,INTC,-9.138719423283152e-05,0.027676807214298715,0
High,META,0.0033870366480001544,0.024685511381039933,0
High,MSFT,0.0012215843782899859,0.013221596989079442,0
High,NFLX,0.0024084794137221523,0.020058007659861564,0
High,NVDA,0.0048572555584461665,0.029446092871210878,0
High,ORCL,0.0016075980327737265,0.018735425147585222,0
High,TSLA,0.0031144407905169826,0.03363922717595521,0
Low,AAPL,0.0015073620589654082,0.013645667034921212,0
Low,AMD,0.0016369349991582909,0.027073744504496608,0
Low,AMZN,0.002084737644383677,0.018779410275964466,0
Low,GOOGL,0.001674606012519552,0.0177897664785489,0
Low,IBM,0.001114845534938883,0.011420118653594729,0
Low,INTC,-9.974055489281253e-05,0.02716840762322188,0
Low,META,0.003385846971001523,0.022835894704473014,0
Low,MSFT,0.00126437502374138,0.01337697711577683,0
Low,NFLX,0.002428253478576457,0.01910476079873685,0
Low,NVDA,0.004933355516348454,0.02963480520763522,0
Low,ORCL,0.0016286897459247183,0.01857790981919636,0
Low,TSLA,0.0032626834328260542,0.03393604219234512,0
Open,AAPL,0.0014476844526534435,0.014536102582696924,0
Open,AMD,0.0016907488088079249,0.029942818208443342,0
Open,AMZN,0.0021145884623041383,0.019965697931753592,0
Open,GOOGL,0.0016959720599396323,0.018886204507964393,0
Open,IBM,0.0011330090781423328,0.011967780591105951,0
Open,INTC,-0.00010218105732199005,0.028682473865322994,0
Open,META,0.003461993311605684,0.025220181538196915,0
Open,MSFT,0.0012639120607761895,0.014883869326653183,0
Open,NFLX,0.0024154431425514665,0.020329995500546774,0
Open,NVDA,0.004981582712117674,0.03268595294195572,0
Open,ORCL,0.0016721666939207317,0.0203190870618851,0
Open,TSLA,0.003308002080992214,0.0392700812692003,0
Volume,AAPL,0.047967325994305074,0.3623636048030302,1
Volume,AMD,0.04447740370371785,0.33129778494976464,1
Volume,AMZN,0.04572075503048202,0.33123753006169554,1
Volume,GOOGL,0.05527962037196389,0.37110968610461537,1
Volume,IBM,0.08104907941874959,0.4816883162401491,2
Volume,INTC,0.08558047297494839,0.48542375144601235,2
Volume,META,0.06715874166231395,0.4420277699857371,2
Volume,MSFT,0.051635418545495755,0.3571768501797647,1
Volume,NFLX,0.079812501523725,0.49448171001710023,2
Volume,NVDA,0.03793970099965012,0.2999654437916172,3
Volume,ORCL,0.079004999777615,0.47014360601252975,2
Volume,TSLA,0.023816821931279833,0.24840507595507247,3
